founder_id,publisher_id
iption;inception;id
Q3666843;Chatto & Windus;British publisher of books;1855;
Q7005314;New American Library;American publisher;1948;
Q552619;Pierre-Jules Hetzel;French publisher and writer;;118949047
Q7206385;Pocket Books;American publisher;1939;
Q7100779;Ordfront;;1969;
Q5654997;Harcourt;United States publishing firm;1919;
Q2190366;Éditions Albin Michel;French book publisher;1900;4321595-6
Q5189454;Crown Publishing Group;publisher;1933;
Q1232629;John Murray;English publisher;1768;116461-2
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q5497221;Frederick A. Stokes;American publisher; founded White & Stokes in 1881, Frederick A. Stokes Company in 1890;;1055115935
Q849759;Punch;British weekly magazine of humour and satire;1841;
Q898097;Faber and Faber;British publishing house;1929;7677476-4
Q5497221;Frederick A. Stokes;American publisher; founded White & Stokes in 1881, Frederick A. Stokes Company in 1890;;1055115935
Q7334658;Rinehart & Company;American publisher, rename from Farrar & Rinehart 1946, succeeded by Holt, Rinehart & Winston 1960;1946;10102934-2
Q7310162;Reilly & Britton;;1904;
Q378809;Hutchinson;British book and magazine publisher, 1887 to 1985;1887;
Q552619;Pierre-Jules Hetzel;French publisher and writer;;118949047
Q7490596;Shasta Publishers;;1947;
Q197707;Hamish Hamilton;British book publishing house;1931;
Q4650360;Ananda Publishers;book publishing company in India;1922;
Q2054191;Chapman & Hall;;1834;600564-0
Q4483635;;;1939;
Q996095;Chuokoron-Shinsha;Japanese publisher;1886;
Q1251563;Doubleday;American publishing company;1897;1086221443
Q6800322;McClelland & Stewart;Canadian publishing company based in Toronto;1906;
Q4310130;John Samuel Murray;British publisher;;117187666
Q921536;Viking Press;publisher;1925;
Q6273015;Heinemann;publishing house;1890;5217493-1
Q2108217;Macmillan Publishers;British publishing company;1843;16282130-X
Q2522363;Victor Gollancz Ltd;British book publishing house;1927;509013-1
Q552959;Little, Brown and Company;publisher;1837;5263955-1
Q1251563;Doubleday;American publishing company;1897;1086221443
Q4034881;Basic Books;American book publisher;1952;
Q1431868;Alfred A. Knopf;American publishing house;1915;
Q5574338;Gnome Press;American small-press publishing company;1948;
